content,title
客廳裡 那相片 何時掛回了左邊你沒帶走的襯衫 被燙過幾遍你一定 回來過 潛進這公寓裡面要不然 你的指紋 怎會佈滿杯沿誰為那魚缸換了水為那檯燈 擦了灰到底誰 這樣鬼祟 照料這一切你明明就坐在對面你近得像迫在眉睫原來是我在無事生非分不清真實的時間拆不掉那些畫面 你一走 我出現幻覺我戴上鋼盔 在防備 感情留下的炮灰無孔不入的回憶 卻四處繁衍你明明說下次再會我明明聽見你汗水誰說是我在 捏造是非只記得幸福曾拜會忘了忘記那滋味那是我 僅有的撫慰牆壁上 那鐘擺依然滯留在那天舊回憶 一刀未剪輪迴著上演,無事生非
希望被疼惜 又不屑被放口袋裡願意去相信 又將真心關得好緊想改造自己想粉碎孤寂卻搞亂自己卻打破愛情太多的反省 壓力像鬼如影隨形最初的幸運 最終會不會是囚禁想膜拜心靈想特立獨行卻服從規矩卻沉沒人群多矛盾同樣一個懷抱水火都沸騰快樂凝望不快樂 妥協共生同樣一個腦袋對立的靈魂勇敢挑釁不勇敢 激烈辯論 但願夠默契 就能抵擋耳語來襲但是再親密 人隔著心就有距離想兩全其美就不得安寧習慣不強求又挑戰宿命多矛盾同樣一個懷抱水火都沸騰快樂凝望不快樂 妥協共生同樣一個腦袋對立的靈魂勇敢挑釁不勇敢 激烈辯論同樣一個懷抱水火都沸騰快樂凝望不快樂 妥協共生同樣一個腦袋對立的靈魂勇敢挑釁不勇敢 激烈辯論反抗矛盾 反而矛盾,矛盾
不確定就別親吻 感情很容易毀了一個人一個人若不夠狠 愛淡了不離不棄多殘忍你留下來的垃圾 我一天一天總會丟完的我甚至真心真意的祝福 永恆在你的身上先發生你還是要幸福 你千萬不要再招惹別人哭所有錯誤從我這裏落幕 別跟著我 銘心 刻骨你還是要幸福 我才能確定我還得很清楚確定自己再也不會佔據 你的篇幅明天 開始 這一切都結束還我鑰匙的備份 我覺得再見可以很單純我甚至真心真意的祝福 永恆在你的身上先發生 你還是要幸福 你千萬不要再招惹別人哭所有錯誤從我這裏落幕 別跟著我 銘心 刻骨你還是要幸福 我才能確定我還得很清楚確定自己再也不會佔據 你的篇幅明天 開始 這一切都結束你還是要幸福 你千萬不要再招惹別人哭所有錯誤從我這裏落幕 別跟著我 銘心 刻骨你如果很幸福 半夜的簡訊我就無需回覆因為你的悲喜已經有了 容身之處我也 能有 最純粹的孤獨最孤獨 的孤獨,還是要幸福
輝煌的城市閃著刺眼的光水泥鋼筋玻璃的冰山沒有表情的人們從不同方向各自帶著心事趕往那各自的不同方向冷漠是冰山裡求生的武裝只怕再被什麼給碰撞明明心裡面盛著滾燙的情感很想和誰分享想太多到最後無情無感你把手伸進我的口袋就會翻出我 說不出口的愛有些什麼藏在沉默背後你 感受得出來 我把手伸進你的口袋原來你也有 痛苦需要隱瞞無論什麼躲在笑容背後 我陪你承擔你把手伸進我的口袋就會翻出我 說不出口的愛有些什麼藏在沉默背後你 感受得出來我把手伸進你的口袋原來你也有 痛苦需要隱瞞無論什麼躲在笑容背後 我陪你承擔誰活著沒有失落失望遺憾不需要溫暖的陪伴進來吧孤單徬徨受傷的手掌口袋裡的溫度 是會生長愛的 土壤,口袋的溫度
還是原來那個我 不過流掉幾公升淚所以變瘦對著鏡子我承諾 遲早我會還這張臉一堆笑容不算什麼 愛錯就愛錯早點認錯 早一點解脫我寂寞寂寞就好 這時候誰都別來安慰擁抱就讓我一個人去 痛到 受不了 想到 快瘋掉死不了就還好我寂寞寂寞就好 你真的不用來我回憶裡微笑我就不相信我會 笨到 忘不了 賴著 不放掉人本來就寂寞的 借來的都該還掉我總會把你戒掉 還是原來那個你 是我自己做夢你有改變什麼再多的愛也沒用 每個人有每個人的業障因果會有什麼 什麼都沒有早點看破 才看得見以後我寂寞寂寞就好 這時候誰都別來安慰擁抱就讓我一個人去 痛到 受不了 想到 快瘋掉死不了就還好我寂寞寂寞就好 你真的不用來我回憶裡微笑我就不相信我會 笨到 忘不了 賴著 不放掉人本來就寂寞的 我總會把你戒掉,寂寞寂寞就好
有隻叫瑪麗瑪麗瑪麗的螞蟻愛上馬路對面的查理可惜查理查理查理是隻貓天天在想河裡的魚只是一條馬路的距離可憐瑪麗走不過去眺望著查理 縮在誰懷裡吃魚馬路上 每一輛車 各奔東西每一個人 匆匆走到哪裡有沒有目的 要不要目的就像螞蟻瑪麗有天瑪麗瑪麗瑪麗有點急看見查理又搬來新鄰居名叫茉莉茉莉茉莉多好聽都讓查理忘了吃魚原來一條馬路的距離有時真的走不過去可一旦走過去 查理還美不美麗馬路上的 日昇又日落 人來又人往瑪麗抬起頭 (才發現到處都是風景) 日昇又日落 人來又人往 瑪麗偶爾抬起頭才發現用心欣賞 到處都能看到 好風景Hey 瑪麗 oh 瑪麗 瑪麗 oh~Hey 瑪麗 oh 瑪麗 瑪麗 oh~原來一條馬路的距離有時候真的走不過去可一旦走過去眼中的查理還美不美麗瑪麗瑪麗瑪麗很開心沿著馬路繼續走下去遇上的哈利安迪波比都有趣也讓自己變得很有趣其實一條馬路的距離有時真的不用過去再美的風景看在眼裡也可以好好放進心裡日昇又日落 人來又人往瑪麗偶爾抬起頭看看自己在別人的眼裡自己自己也許也是風景其實一條馬路的距離有時真的不用過去再美的風景 總會離開眼睛,超級瑪麗
我愛你 你愛他 他愛她 她愛他你愛我 我愛他 他愛她 她愛他   怎麼這世界 已經沒有人相愛怎麼這世界 每個人都不快樂怎麼這世界 每個人都愛別人 不愛自己我愛你 你愛他 他愛她 她愛他你愛我 我愛他 他愛她 她愛他   怎麼這世界 已經沒有人相愛怎麼這世界 每個人都不快樂怎麼這世界 每個人都愛別人 不愛自己,LOVE
最繁華的城市為何帶來最寂寞的北極熊最純潔的孩子如何走過最骯髒的垃圾場最混亂的回憶永遠讓我想起最專注的一剎那最醜陋的世界偶然讓我看到最美麗的一首詩原來最暗的天空總有最閃爍的星星為喚不回的 為做不到的 為還在活的我和你原來最大的懷疑總有最渺小的自己向蝴蝶知更 向肉體靈魂 向芸芸眾生我該說感謝 還是對不起最暴烈的流徙難道為了成就最温柔的小團圓 最簡單的渴望從來不想證明最荒謬的大時代原來最暗的天空總有最閃爍的星星為受過傷的 為犯過錯的 為還在活的我和你原來最大的懷疑總有最渺小的自己向黄土灰塵 向肉體靈魂 向芸芸眾生我該說感謝 還是對不起宇宙洪荒再沈默總有最閃爍的星星某一天消失 某一天誕生 有一天寬恕我和你原來最大的懷疑總有最渺小的自己向恩怨愛恨 向肉體靈魂 向芸芸眾生我該說感謝 再說對不起,渺小
作能約出來的人都約光能吃得下的早已吃光很用力談笑 比哭還絕望怎麼挨得到打烊我以為痛苦可以分散於是我忙到不能再忙忙到忘記了洗掉你所有短訊一字一巴打在我臉上思念太猖狂 一個冷不防一想起你 忙碌的生活變得空蕩蕩對心事說謊 把你想到多麼的不堪偉大的你還想我怎樣 我以為工作能夠療傷甚至恨不得病倒再算沒力氣遐想 誰知癱瘓在床上越發渴望你就在身旁思念太猖狂 一個冷不防一想起你 忙碌的生活變得空蕩蕩對心事說謊 把你想到多麼的不堪偉大的你還想我怎樣你也太猖狂 一個冷不防睡到一半 才覺醒療傷先要哭一場對世界說謊 只把自己哄騙得更慘想得到釋放只有投降想得到釋放只有投降,你太猖狂
你的呼吸 還有你的聲音你的呼吸 穿過身體我來不及反應你的聲音 躲在耳裡 讓我生病謝謝 你給的讓我沉迷讓我丟掉了姓名在好奇的時候 拉不住眼睛我想我不會愛你 這樣下去渺小的自尊都快要拋棄我想我不會愛你 只是也許你的嘆息 散落一地讓我歇斯底里靠得太近 一不小心 弄傷自己謝謝 你給的讓我沉迷 讓我困住了自己在迷路的時候 捨不得離去我想我不會愛你 這樣下去渺小的自尊都快要拋棄我想我不會恨你 傷的痕跡住在我心底 變成了秘密我想我不會愛你 害怕失去所以逞強的 遠遠看著你我想我不會恨你 只是也許我想我不會愛你 這樣下去渺小的自尊都快要拋棄我想我不會恨你 傷的痕跡住在我心底變成了秘密我想我不會愛你 害怕失去所以逞強的 遠遠看著你我想我不會恨你 只是也許,我想我不會愛你
黑夜 妳獨自面對多少的夢魘 我不瞭解但我知道 藍天終究會出現 暴雨的終點是一片草原看著妳 偶爾清醒偶爾睡 偶爾沮喪掉下淚妳的痛我永遠無法體會 但我明白我的心和妳同一邊那些巨大的狂烈 搖晃你世界 一夕之間但我看見 一切都不曾改變 妳笑開的臉像一朵玫瑰 等著妳偶爾放晴 偶爾灰 偶爾想逃回從前妳的痛我不能代替一點 但我多想時間能走得快一些心越漆黑 夢越燦爛紛飛陪著妳 偶爾信心偶爾累 偶爾堅強到心碎最寂寞是痛找不到語言 但我希望我的歌到妳心裡面太陽出現 曬妳那(Selina)所有的美,妳
你曾經是我的影子 我習慣了你當我的影子不管什麼時候 我總是習慣回頭 要尋找我的你的影子你當膩了我的影子 我就開始變成你的影子不管什麼時候 因我不習慣回頭 找不到我的你的影子有一天 這兩個影子決定分手我們都哭了 可是我們的影子沒有帶著自己原來的影子回家 才真正知道什麼叫做孤獨寂寞你當膩了我的影子 我就開始變成你的影子 不管什麼時候 因我不習慣回頭 找不到我的你的影子有一天 這兩個影子決定分手我們都哭了 可是我們的影子沒有帶著自己原來的影子回家 才真正知道什麼叫做孤獨寂寞每一晚抱著自己的影子入睡我們再也牽不到的手 吻不到的唇我們再也到達不了的擁抱才知道可能還是做你的影子比較好我們再也到達不了的擁抱才知道可能還是做你的影子比較好,影子的影子
曇小白等等等 等一個夜晚向小黃追追追 追每寸陽光玫小紅愛愛愛愛 愛上了愛它的它 她和他多簡單 盛就盛開 敗就敗不用計算 只為自己而精彩自然而然花啊~ 學學花腔花啦~ 借借花香花啊~ 花有多漂亮心要不要也這樣煙小花 越消失 越用力燦爛雪小花 越融解 越決心純白 浪小花 越是觸摸不到岸越是勇敢 去追趕這世界 就像花開那麼快 誰都明白可惜為什麼有人 還看不開花啊~ 學學花腔花啦~ 借借花香花啊~ 花有多漂亮心要不要也這樣花啊~ 換個花腔花啦~ 花何止香花啊~ 心花若怒放每一朵一個天堂心花若怒放 開到荼靡又何妨,花花世界
把太細的神經割掉 會不會比較睡得著我的心有座灰色的監牢 關著一票黑色念頭在吼叫把太硬的脾氣抽掉 會不會比較被明瞭你可以重重把我給打倒 但是想都別想我求饒你是魔鬼中的天使 所以送我心碎的方式是讓我笑到最後一秒為止才發現自己胸口插了一把刀子你是魔鬼中的天使 讓恨變成太俗氣的事從眼裡流下謝謝兩個字儘管叫我瘋子 不準叫我傻子把太硬的脾氣抽掉 會不會比較被明瞭你可以重重把我給打倒 但是想都別想我求饒你是魔鬼中的天使 所以送我心碎的方式是讓我笑到最後一秒為止 才發現自己胸口插了一把刀子你是魔鬼中的天使 讓恨變成太俗氣的事從眼裡流下謝謝兩個字儘管叫我瘋子 不準叫我傻子隨人去拼湊我們的故事我懶得解釋 愛怎麼解釋當誰想看我碎裂的樣子我已經又頑強 重生一次你是魔鬼中的天使 所以送我心碎的方式是讓我笑到最後一秒為止才發現自己胸口插了一把刀子你是魔鬼中的天使 讓恨變成太俗氣的事從眼裡流下謝謝兩個字儘管叫我瘋子 不準叫我傻子,魔鬼中的天使
這已經不是我第一次聽到她的名字你是我們共同愛上的浪子其實我並不真的在乎與別人一起佔有你我並不真的介意你的吻也蓋著別人的印記如果這是你不能逃避的宿命就請你給我好一點的情敵至少讓我擁有競爭的樂趣至少讓我相信被遺棄有被遺棄的道理這已經不是我第一次聽到她的故事你是我們共同愛上的主題其實我並不真的難過與他人一起分享所有 我並不真的害怕你的愛左顧右盼牽牽掛掛如果這是你不能逃避的宿命就請你給我好一點的情敵至少讓我擁有競爭的樂趣至少讓我相信被遺棄有被遺棄的道理如果這是我不能躲閃的結局我只要求給我好一點的情敵至少讓我擁有完美的嫉妒至少讓我感覺有另一人足以匹配我的孤獨我的孤獨我的孤獨,請你給我好一點的情敵
剛剛才告別了冬季淚還在眼角結著冰和你 相遇傷痕有相同的氣息在適合相愛的天氣為你 猶豫我們在寂寞中靠近 擁抱中痊癒卻不敢輕易說愛情有些人愛著愛著就變了而誓言愛著愛著會忘記我們在微光中前進曖昧中小心摸索著幸福的道理怕只怕愛著愛著又放棄有沒有愛著愛著就永遠 的幸運說不定永遠很容易困難的只是誰願意全心 全意 我們在寂寞中靠近 擁抱中痊癒卻不敢輕易說愛情有些人愛著愛著就變了而誓言愛著愛著會忘記我們在微光中前進曖昧中小心摸索著幸福的道理怕只怕愛著愛著又放棄有沒有愛著愛著就永遠 的幸運我們在寂寞中靠近 擁抱中痊癒卻不敢輕易說愛情有些人愛著愛著就變了而誓言愛著愛著會忘記我們在微光中前進曖昧中小心摸索著幸福的道理怕只怕愛著愛著又放棄有沒有愛著愛著就永遠 的幸運行不行,愛著愛著就永遠
喝了太多刺激會變得麻痹 一時忘情短暫地以為療癒 卻在腐蝕身心後悔 都是放縱的累積貪了情不自禁會留下 沉重的記憶人不能打算過癮 卻不打算失去沒有幸福 不夾帶危機我 渴望身體是樂土 自然地慢舞不想要長出痛苦 就別種下錯誤被俘虜我 渴望心靈是淨土 自由地慢舞 能過濾 可能帶來樂極生悲的毒簡單樸素這世界太吵太激情 我需要安寧這生命太短太飛行我需要散個步 好好去回憶我 渴望身體是樂土 自然地慢舞不想要長出痛苦 就別種下錯誤被俘虜我 渴望心靈是淨土 自由地慢舞能過濾 可能帶來樂極生悲的毒簡單樸素,慢舞
南極開的花 已那麼香沙漠中的魚 開始歌唱如果你竟然 別來無恙只好怪時光 還不夠漫長就像我眼睛 已會結霜耳朵嫁給了 真正的謊若還說我和 從前一樣怎麼對得起 人生的荒唐讓 寒暄都吹成 風讓 重逢全做成 夢來讓所有遺憾淪為所謂遺忘應了那句無常 哪裡還找得到 當時月亮每一秒星光 都在變幻別說你的心 還是那樣桑田和滄海 該有多失望讓 你不再認識 我讓 我不怕放過 我來讓所有遺憾再不用被遺忘成全那句無常就讓所有遺忘都忘了怎麼忘就讓無常如常,無常
